bathrooms,bedrooms,yearBuilt,propTax,livingArea,lot_size_sqf,schlRnk,hoa,garageSpaces,hasFireplace,basement,latitude,longitude
2.0,3.0,1935.0,0.95,2695.0,5227.2,4.0,0.0,1,0.0,0,40.86199951171875,-73.85047149658203
2.0,2.0,1990.0,0.87,756.0,574.0,7.0,135.0,0,0.0,1,40.50410842895508,-74.23851776123047
2.0,2.0,2017.0,0.87,869.0,2000.0,3.0,0.0,0,0.0,0,40.57373809814453,-74.09693145751953
1.0,2.0,1981.0,0.87,758.0,800.0,9.0,229.0,0,0.0,0,40.55613327026367,-74.14004516601562
3.0,5.0,1965.0,0.87,2136.0,4000.0,6.0,0.0,0,0.0,0,40.59182357788086,-74.08329772949219
3.0,3.0,1975.0,0.87,1600.0,3390.0,6.0,0.0,0,0.0,1,40.58015060424805,-74.08738708496094
2.0,6.0,1925.0,0.87,2750.0,5389.0,2.0,0.0,1,0.0,1,40.632591247558594,-74.12364196777344
4.0,5.0,1996.0,0.87,3000.0,4850.0,9.0,0.0,1,1.0,1,40.57558059692383,-74.13151550292969
2.0,3.0,1992.0,0.87,980.0,1316.0,8.0,225.0,0,0.0,1,40.55433654785156,-74.2001724243164
2.0,2.0,1985.0,0.87,1028.0,805.0,7.0,180.0,0,0.0,0,40.56420135498047,-74.15497589111328
3.0,3.0,1910.0,0.95,1450.0,2613.6,9.0,0.0,0,1.0,1,40.89823913574219,-73.86307525634766
2.0,2.0,1986.0,0.87,980.0,640.0,8.0,225.0,0,0.0,0,40.55231475830078,-74.19978332519531
2.0,2.0,1989.0,0.87,1008.0,1204.0,8.0,70.0,0,0.0,1,40.54705810546875,-74.1989974975586
2.0,2.0,1987.0,0.87,1330.0,1881.0,7.0,134.0,1,0.0,0,40.5839729309082,-74.15968322753906
3.0,4.0,1970.0,0.87,2016.0,3920.0,8.0,0.0,1,0.0,0,40.60487365722656,-74.13352966308594
4.0,3.0,1996.0,0.87,1510.0,2560.0,7.0,187.0,1,0.0,0,40.5606575012207,-74.1870346069336
3.0,3.0,2006.0,0.87,1200.0,2000.0,3.0,0.0,0,0.0,1,40.57228469848633,-74.09983825683594
3.0,3.0,1960.0,0.95,1683.0,1742.4,7.0,0.0,1,0.0,1,40.83820343017578,-73.8362808227539
4.0,5.0,1980.0,0.87,2420.0,3232.0,4.0,0.0,1,0.0,1,40.61240768432617,-74.1601791381836
4.0,6.0,1950.0,0.87,1872.0,4300.0,6.0,0.0,0,0.0,1,40.59015274047852,-74.08772277832031
3.0,3.0,1977.0,0.87,2976.0,6000.0,7.0,0.0,0,0.0,1,40.54362106323242,-74.19134521484375
6.0,5.0,1925.0,0.87,3480.0,7500.0,6.0,0.0,1,0.0,1,40.59933090209961,-74.06790161132812
2.0,2.0,1979.0,0.87,1100.0,660.0,7.0,238.0,0,0.0,1,40.577613830566406,-74.16316223144531
4.0,6.0,1936.0,0.65,2568.0,2600.0,8.0,0.0,0,0.0,1,40.62037658691406,-73.99108123779297
2.0,2.0,1955.0,0.87,768.0,4500.0,6.0,0.0,0,0.0,1,40.58805084228516,-74.09559631347656
2.0,3.0,2002.0,0.87,1920.0,1350.0,7.0,0.0,0,0.0,1,40.56493377685547,-74.1835708618164
2.0,4.0,1899.0,0.65,1200.0,2800.0,5.0,0.0,0,0.0,0,40.63364410400391,-73.89049530029297
4.0,6.0,2019.0,0.87,2650.0,4000.0,8.0,0.0,1,0.0,1,40.54808044433594,-74.1913070678711
1.0,3.0,1965.0,0.87,1040.0,4480.0,9.0,0.0,0,0.0,1,40.56504821777344,-74.1209945678711
2.0,4.0,1945.0,0.87,1050.0,3340.0,5.0,0.0,1,1.0,1,40.62177276611328,-74.1446304321289
2.0,3.0,1965.0,0.87,1152.0,2856.0,9.0,0.0,0,0.0,1,40.558738708496094,-74.11089324951172
3.0,4.0,1920.0,0.84,1440.0,1742.4,8.0,0.0,1,0.0,1,40.68880844116211,-73.81324768066406
3.0,3.0,1997.0,0.87,2423.0,5000.0,9.0,0.0,1,1.0,1,40.50254821777344,-74.24307250976562
5.0,4.0,1997.0,0.87,2225.0,2640.0,7.0,0.0,1,0.0,1,40.51520538330078,-74.23892974853516
1.0,3.0,1955.0,0.87,1296.0,4880.0,7.0,0.0,1,1.0,1,40.617897033691406,-74.13098907470703
2.0,4.0,1920.0,0.87,1670.0,5300.0,7.0,0.0,0,0.0,1,40.62009811401367,-74.12381744384766
