iter	RMSE
0	208084.7222
1	200138.8885
2	193089.5162
3	186569.0393
4	180408.6272
5	174864.0893
6	169763.6297
7	165226.2869
8	160741.6586
9	156627.7309
10	152615.7388
11	148764.6088
12	145356.2003
13	142240.9993
14	139288.2245
15	136570.4081
16	134217.38
17	131996.0458
18	129788.365
19	127878.2739
20	125830.1319
21	123850.9767
22	121897.4082
23	120353.4236
24	118945.4105
25	117601.7945
26	116159.8294
27	115163.051
28	114085.5888
29	112937.8942
30	111796.5531
31	110699.3451
32	109574.269
33	108594.3234
34	107595.5471
35	106847.7586
36	106061.2553
37	105190.4163
38	104319.9732
39	103578.6782
40	102826.2126
41	102172.4161
42	101583.1911
43	100962.9368
44	100466.2907
45	100028.8514
46	99468.73518
47	98914.32592
48	98499.13574
49	97891.00031
50	97351.79408
51	97012.80523
52	96538.4253
53	96249.10363
54	95808.56541
55	95553.44544
56	95229.52696
57	94804.15378
58	94483.19909
59	94138.76143
60	93718.32719
61	93413.40568
62	93064.32344
63	92819.6568
64	92623.82729
65	92324.19659
66	92149.68937
67	91802.64364
68	91492.19548
69	91207.63041
70	90995.85802
71	90817.85749
72	90472.78556
73	90191.11526
74	89897.11429
75	89607.00978
76	89387.90666
77	89174.16696
78	89029.9917
79	88788.38057
80	88551.70972
81	88339.8785
82	88067.60387
83	87857.18844
84	87701.87402
85	87496.24944
86	87357.85788
87	87189.93496
88	86945.64279
89	86776.15817
90	86606.24606
91	86520.35966
92	86383.56827
93	86261.54395
94	86070.76952
95	85881.74689
96	85762.83117
97	85686.05769
98	85568.88398
99	85438.02078
100	85349.8672
101	85237.56077
102	85140.70558
103	84996.71887
104	84823.76572
105	84684.12105
106	84565.80723
107	84459.95793
108	84298.89196
109	84145.80269
110	84045.52034
111	83903.91566
112	83784.53935
113	83747.81963
114	83656.56733
115	83562.56144
116	83473.04732
117	83395.56828
118	83273.18845
119	83200.05349
120	83026.74964
121	82961.23517
122	82791.55262
123	82677.11991
124	82545.3641
125	82473.1791
126	82351.56094
127	82257.32126
128	82196.50112
129	82075.54615
130	81978.93561
131	81823.57582
132	81713.75513
133	81668.16202
134	81539.2564
135	81444.13374
136	81420.28234
137	81311.86527
138	81183.57094
139	81090.23258
140	80958.02428
141	80852.50395
142	80745.22727
143	80663.90787
144	80558.35926
145	80466.91025
146	80386.03095
147	80300.83257
148	80224.95791
149	80120.04753
150	80058.27744
151	79960.89422
152	79888.36585
153	79778.01569
154	79667.68544
155	79555.33488
156	79448.51051
157	79338.98542
158	79239.66918
159	79138.21401
160	79022.1898
161	78881.17875
162	78848.40347
163	78731.96165
164	78621.02529
165	78490.32111
166	78413.23446
167	78309.18172
168	78226.58161
169	78212.2339
170	78128.59266
171	78060.97551
172	78034.75943
173	77966.94601
174	77911.21974
175	77829.78084
176	77733.4864
177	77648.15245
178	77526.15415
179	77428.5821
180	77333.91678
181	77208.20344
182	77139.2125
183	77044.02078
184	77030.83963
185	76956.98377
186	76885.39822
187	76800.01352
188	76703.2118
189	76625.19868
190	76520.23518
191	76441.92204
192	76370.95721
193	76266.90551
194	76148.12547
195	76072.85976
196	75981.08159
197	75888.43065
198	75790.64692
199	75725.396
200	75623.67414
201	75534.83755
202	75427.69278
203	75320.85028
204	75246.83522
205	75155.40083
206	75067.03711
207	75006.72432
208	74929.02699
209	74851.86148
210	74798.11668
211	74753.20024
212	74717.87518
213	74669.43691
214	74599.53911
215	74589.9098
216	74482.93408
217	74410.75743
218	74321.32616
219	74257.5252
220	74201.21186
221	74117.46966
222	74029.0593
223	73983.08197
224	73873.09233
225	73812.35686
226	73748.28374
227	73657.00936
228	73563.90644
229	73487.81647
230	73412.77077
231	73304.56071
232	73228.05028
233	73153.69162
234	73068.45506
235	72982.7144
236	72917.77996
237	72862.17302
238	72779.72763
239	72702.33813
240	72665.81709
241	72596.00346
242	72521.50231
243	72490.21963
244	72428.8831
245	72339.49499
246	72244.01204
247	72145.88387
248	72067.30991
249	72040.88692
250	71982.89716
251	71899.60165
252	71846.80277
253	71795.05667
254	71743.24292
255	71684.27009
256	71676.85796
257	71613.08243
258	71577.11451
259	71529.75473
260	71480.86666
261	71435.29989
262	71424.51358
263	71362.09756
264	71306.56782
265	71223.09964
266	71209.6102
267	71166.64676
268	71156.40588
269	71089.68881
270	71043.24293
271	70991.47855
272	70927.19228
273	70864.06277
274	70798.85444
275	70695.58473
276	70631.99005
277	70567.28408
278	70498.70913
279	70427.75478
280	70368.35769
281	70311.99968
282	70257.78755
283	70178.09803
284	70129.68508
285	70071.75312
286	70035.81607
287	69987.67144
288	69923.16566
289	69917.15114
290	69858.31952
291	69774.09384
292	69702.91574
293	69644.18824
294	69603.0857
295	69572.25645
296	69536.5385
297	69475.84684
298	69426.17467
299	69368.24619
300	69359.95973
301	69311.68875
302	69255.79713
303	69201.38088
304	69196.00106
305	69162.25537
306	69146.6508
307	69095.20854
308	69050.05329
309	69001.08857
310	68952.80049
311	68908.51209
312	68876.51857
313	68839.46338
314	68742.80708
315	68679.49425
316	68609.44248
317	68574.23741
318	68525.05646
319	68498.84279
320	68456.64129
321	68419.91486
322	68381.03507
323	68334.66466
324	68301.40664
325	68238.28912
326	68188.74542
327	68158.50251
328	68147.30699
329	68136.01554
330	68085.99647
331	68026.13725
332	67973.54394
333	67963.76821
334	67931.70251
335	67872.31431
336	67809.38849
337	67767.49078
338	67721.11211
339	67661.5154
340	67632.6417
341	67598.61325
342	67569.34339
343	67519.99547
344	67478.62752
345	67444.60904
346	67397.97275
347	67338.00426
348	67290.58925
349	67227.53679
350	67185.3453
351	67140.88643
352	67104.81978
353	67034.66072
354	66948.4789
355	66892.55737
356	66820.40728
357	66814.05913
358	66768.81048
359	66704.74113
360	66657.2198
361	66598.31805
362	66539.98093
363	66493.04415
364	66437.6364
365	66368.19998
366	66328.56795
367	66269.93716
368	66196.32538
369	66175.26025
370	66126.19407
371	66063.11602
372	66001.52735
373	65949.34756
374	65931.77571
375	65928.06061
376	65854.22332
377	65824.10024
378	65799.43171
379	65740.60714
380	65702.98053
381	65641.87397
382	65589.77603
383	65566.78009
384	65538.05254
385	65490.4653
386	65428.90635
387	65381.94148
388	65375.1863
389	65342.55905
390	65306.52602
391	65234.14793
392	65208.508
393	65176.85488
394	65156.13188
395	65144.50965
396	65136.67515
397	65084.31459
398	65041.90998
399	65003.20345
400	64972.74951
401	64943.33663
402	64878.9219
403	64815.86237
404	64760.07435
405	64754.86951
406	64746.42599
407	64740.3906
408	64732.24157
409	64675.52608
410	64630.96821
411	64588.64143
412	64542.83296
413	64510.25266
414	64468.8559
415	64430.15296
416	64423.98091
417	64399.53847
418	64370.00855
419	64325.94027
420	64268.76174
421	64228.81503
422	64188.99261
423	64147.06921
424	64122.81172
425	64092.4902
426	64010.89421
427	63965.68451
428	63923.9118
429	63895.1246
430	63862.84358
431	63812.88861
432	63773.14462
433	63767.53109
434	63743.36408
435	63692.25862
436	63663.269
437	63630.55481
438	63602.74304
439	63550.77802
440	63481.79637
441	63426.05399
442	63396.37499
443	63373.69198
444	63337.21101
445	63317.72032
446	63285.40657
447	63252.0896
448	63201.72274
449	63169.12034
450	63129.37478
451	63091.29507
452	63066.09404
453	63018.11608
454	62963.6433
455	62931.88757
456	62896.79133
457	62844.88121
458	62835.81382
459	62817.13892
460	62788.73951
461	62786.36879
462	62712.80187
463	62677.56155
464	62618.75097
465	62553.30976
466	62508.34065
467	62463.96951
468	62437.46765
469	62353.89629
470	62310.50937
471	62285.87985
472	62273.08218
473	62251.71938
474	62204.5655
475	62199.70883
476	62147.21939
477	62100.64933
478	62081.73736
479	62061.78657
480	62032.73713
481	62002.02006
482	61980.98696
483	61925.46016
484	61881.52362
485	61834.22213
486	61803.68354
487	61752.26905
488	61718.12748
489	61703.26342
490	61662.04564
491	61639.67348
492	61635.52564
493	61595.25283
494	61565.19865
495	61557.39088
496	61546.64368
497	61528.46599
498	61526.51999
499	61502.56263
500	61443.47216
501	61381.57609
502	61355.93963
503	61321.65449
504	61304.64059
505	61301.32072
506	61268.71234
507	61240.67237
508	61195.19407
509	61181.44583
510	61179.02883
511	61140.22394
512	61089.69134
513	61049.90182
514	61001.46777
515	60964.02638
516	60920.27662
517	60896.19586
518	60875.06186
519	60858.59244
520	60819.78019
521	60777.61381
522	60737.1409
523	60695.68505
524	60665.09344
525	60632.89039
526	60593.16839
527	60570.70644
528	60529.72232
529	60494.86861
530	60450.65533
531	60407.88111
532	60371.46671
533	60339.72772
534	60316.97628
535	60246.74044
536	60227.41482
537	60206.85112
538	60183.70757
539	60170.99014
540	60145.41363
541	60097.49055
542	60044.65785
543	60013.39172
544	60011.70544
545	59974.29659
546	59946.54847
547	59917.82384
548	59870.07522
549	59840.16824
550	59819.38051
551	59796.14007
552	59776.65597
553	59737.1977
554	59704.68786
555	59685.21562
556	59672.89473
557	59633.1883
558	59631.86687
559	59627.62034
560	59591.18322
561	59569.30884
562	59564.72515
563	59526.87408
564	59499.9944
565	59492.13132
566	59477.16283
567	59443.64237
568	59413.17421
569	59406.25301
570	59378.20787
571	59351.7826
572	59315.81943
573	59281.58517
574	59276.84195
575	59253.4781
576	59237.90979
577	59205.84847
578	59138.39899
579	59116.86096
580	59089.81342
581	59069.35459
582	59026.884
583	59012.42823
584	58978.0519
585	58926.40082
586	58902.82292
587	58883.88038
588	58846.8572
589	58811.46178
590	58777.44963
591	58757.495
592	58726.74967
593	58672.28054
594	58621.17314
595	58602.61531
596	58565.00406
597	58532.88313
598	58509.09132
599	58461.89644
600	58440.55847
601	58426.83888
602	58402.74865
603	58358.31878
604	58326.79099
605	58296.24801
606	58265.12871
607	58224.34031
608	58185.93065
609	58160.49612
610	58114.5959
611	58077.02278
612	58042.55219
613	58017.43754
614	57986.60588
615	57970.29994
616	57935.05547
617	57898.95639
618	57872.69044
619	57842.79119
620	57841.51789
621	57840.57832
622	57839.2869
623	57823.26401
624	57776.73328
625	57767.42983
626	57715.0237
627	57711.77274
628	57687.30062
629	57657.37682
630	57619.51714
631	57593.799
632	57563.83888
633	57539.19834
634	57502.51036
635	57499.92762
636	57469.8886
637	57450.56282
638	57428.88271
639	57396.25181
640	57391.05901
641	57373.0654
642	57333.95081
643	57310.29853
644	57285.50745
645	57254.92177
646	57243.39851
647	57203.1604
648	57157.76135
649	57119.41918
650	57103.98565
651	57102.69951
652	57063.21064
653	57035.26115
654	57007.14172
655	56978.81123
656	56948.85639
657	56919.32525
658	56889.05383
659	56856.60876
660	56825.57059
661	56796.83279
662	56766.55279
663	56731.66859
664	56706.1871
665	56679.13762
666	56659.84003
667	56620.48376
668	56584.87707
669	56573.74994
670	56545.51262
671	56511.59258
672	56476.33106
673	56454.31463
674	56430.23563
675	56407.39141
676	56381.21187
677	56347.66189
678	56334.39881
679	56302.79991
680	56277.94389
681	56241.2238
682	56211.88799
683	56182.77921
684	56160.0847
685	56143.74528
686	56125.20293
687	56101.93088
688	56084.81699
689	56071.85434
690	56035.68244
691	56012.02741
692	56001.93322
693	55973.72428
694	55940.62041
695	55906.43719
696	55890.62407
697	55857.62057
698	55830.11818
699	55826.19815
700	55813.80734
701	55784.25001
702	55743.12107
703	55723.51324
704	55706.93399
705	55677.84775
706	55652.87469
707	55626.11203
708	55594.20064
709	55561.3882
710	55531.88136
711	55514.32028
712	55491.10958
713	55457.44994
714	55443.32429
715	55426.20228
716	55403.45377
717	55389.09873
718	55344.74583
719	55322.7629
720	55314.3017
721	55308.2124
722	55278.93494
723	55269.84717
724	55242.38122
725	55219.0988
726	55192.69782
727	55170.39487
728	55133.60057
729	55111.54542
730	55096.80491
731	55082.17406
732	55053.90098
733	55021.45587
734	55006.26244
735	54994.39855
736	54982.27909
737	54977.0104
738	54938.23715
739	54924.96461
740	54901.36444
741	54880.95279
742	54870.27422
743	54833.48866
744	54806.44277
745	54763.27611
746	54737.4688
747	54701.33879
748	54673.02072
749	54649.52502
750	54628.62894
751	54597.70898
752	54563.06904
753	54545.72148
754	54535.87084
755	54508.83376
756	54487.00922
757	54473.87761
758	54442.10048
759	54398.98995
760	54382.91661
761	54356.26675
762	54333.71132
763	54315.8817
764	54276.86454
765	54249.30153
766	54212.72811
767	54191.83681
768	54154.1138
769	54132.95199
770	54113.53268
771	54066.83777
772	54041.52619
773	54028.69206
774	54008.43751
775	53987.67741
776	53965.44841
777	53937.54438
778	53922.10897
779	53895.50187
780	53867.87639
781	53846.08636
782	53827.70811
783	53792.47502
784	53777.24141
785	53750.58719
786	53716.36406
787	53673.10782
788	53664.76757
789	53639.73121
790	53600.70154
791	53579.90762
792	53569.60177
793	53553.84678
794	53527.75222
795	53506.09685
796	53484.994
797	53471.28367
798	53444.87644
799	53415.14134
800	53404.16961
801	53376.77743
802	53352.19345
803	53335.50387
804	53304.87914
805	53285.05426
806	53253.95951
807	53245.55352
808	53212.46788
809	53193.22032
810	53180.98193
811	53150.82974
812	53123.68292
813	53104.57887
814	53082.90434
815	53072.09711
816	53045.81627
817	53026.72905
818	52983.75587
819	52954.54545
820	52921.24333
821	52890.51328
822	52862.16506
823	52852.1375
824	52825.9041
825	52813.08511
826	52801.04416
827	52779.58357
828	52765.32671
829	52751.94592
830	52750.70605
831	52745.16275
832	52698.79356
833	52687.38454
834	52661.73263
835	52638.87111
836	52630.22789
837	52621.23553
838	52591.21813
839	52563.792
840	52550.11827
841	52534.32159
842	52492.27558
843	52449.47043
844	52417.30895
845	52381.71475
846	52356.52054
847	52332.64369
848	52329.65373
849	52294.57556
850	52270.99586
851	52253.7457
852	52233.75129
853	52209.20957
854	52176.7515
855	52149.81729
856	52148.39394
857	52135.96552
858	52110.00151
859	52089.4403
860	52085.89684
861	52052.45512
862	52034.27117
863	51998.21154
864	51985.53554
865	51972.04149
866	51970.90787
867	51968.8203
868	51937.19513
869	51915.17895
870	51906.3353
871	51885.67637
872	51858.17139
873	51826.94365
874	51808.03795
875	51777.80896
876	51755.98113
877	51739.07305
878	51697.12946
879	51668.2381
880	51650.19353
881	51628.68993
882	51607.1555
883	51591.80687
884	51577.72775
885	51562.23791
886	51537.62712
887	51516.75404
888	51499.81437
889	51495.1193
890	51475.45352
891	51458.55554
892	51446.28795
893	51418.67374
894	51415.34066
895	51404.85785
896	51380.54424
897	51356.55746
898	51337.7741
899	51316.05507
900	51292.12156
901	51250.47997
902	51229.22903
903	51211.03351
904	51181.77707
905	51167.36876
906	51148.09162
907	51142.44016
908	51129.55794
909	51126.65145
910	51101.62308
911	51093.00591
912	51085.50674
913	51048.96747
914	51016.19802
915	50994.25606
916	50976.99349
917	50964.12538
918	50939.88282
919	50923.78526
920	50906.66482
921	50887.99535
922	50868.83841
923	50855.9635
924	50818.42495
925	50786.61827
926	50781.41572
927	50761.27887
928	50759.21243
929	50740.63493
930	50726.4272
931	50716.98662
932	50687.14151
933	50669.72246
934	50649.99829
935	50622.18641
936	50605.9541
937	50591.60481
938	50565.96343
939	50548.06637
940	50528.92638
941	50504.6975
942	50483.24057
943	50482.45118
944	50458.88968
945	50434.78181
946	50431.71565
947	50407.19135
948	50379.80843
949	50359.28599
950	50336.87744
951	50327.07573
952	50320.115
953	50295.2832
954	50275.70482
955	50255.15927
956	50227.90394
957	50209.79132
958	50195.4473
959	50183.1972
960	50161.50769
961	50148.54188
962	50126.94322
963	50107.7372
964	50095.98879
965	50091.64546
966	50082.25608
967	50050.14973
968	50043.50568
969	50023.02791
970	50011.99376
971	49988.51842
972	49973.73471
973	49951.88968
974	49935.12322
975	49910.87689
976	49893.2473
977	49875.17811
978	49853.92039
979	49843.54351
980	49837.68309
