iter	Passed	Remaining
0	2	2435
1	4	2437
2	6	2263
3	8	2211
4	10	2185
5	13	2153
6	14	2124
7	17	2117
8	19	2119
9	21	2099
10	23	2102
11	25	2112
12	27	2100
13	29	2091
14	31	2094
15	34	2119
16	36	2137
17	39	2143
18	41	2148
19	43	2145
20	45	2135
21	47	2130
22	49	2121
23	52	2118
24	54	2116
25	56	2110
26	58	2107
27	60	2102
28	62	2103
29	64	2099
30	67	2102
31	69	2098
32	71	2091
33	73	2091
34	75	2089
35	77	2085
36	79	2080
37	82	2089
38	84	2085
39	86	2084
40	89	2081
41	91	2079
42	93	2074
43	95	2067
44	97	2065
45	99	2062
46	101	2059
47	103	2057
48	105	2053
49	107	2050
50	110	2049
51	112	2048
52	114	2046
53	117	2051
54	119	2050
55	121	2047
56	123	2046
57	125	2043
58	127	2041
59	130	2041
60	132	2040
61	134	2037
62	136	2036
63	139	2034
64	141	2033
65	143	2033
66	146	2033
67	148	2032
68	150	2029
69	152	2026
70	154	2025
71	157	2023
72	159	2021
73	161	2020
74	163	2016
75	165	2015
76	167	2012
77	170	2011
78	172	2009
79	174	2007
80	176	2006
81	179	2005
82	181	2004
83	183	2001
84	185	2000
85	187	1997
86	190	1996
87	192	1996
88	194	1995
89	197	1992
90	199	1990
91	201	1988
92	203	1985
93	205	1982
94	208	1983
95	210	1982
96	212	1978
97	214	1976
98	216	1973
99	219	1971
100	221	1969
101	223	1967
102	225	1964
103	227	1962
104	230	1961
105	232	1961
106	234	1960
107	237	1958
108	239	1958
109	241	1957
110	244	1954
111	246	1952
112	248	1950
113	250	1949
114	252	1946
115	255	1946
116	257	1944
117	259	1942
118	262	1941
119	264	1939
120	266	1937
121	268	1934
122	271	1932
123	273	1930
124	275	1928
125	277	1927
126	279	1924
127	282	1922
128	284	1919
129	286	1917
130	288	1915
131	290	1913
132	293	1911
133	295	1908
134	297	1905
135	299	1903
136	301	1901
137	303	1898
138	305	1895
139	308	1892
140	310	1890
141	312	1887
142	314	1885
143	316	1882
144	318	1880
145	321	1878
146	323	1875
147	325	1872
148	327	1871
149	329	1869
150	332	1866
151	334	1866
152	336	1864
153	338	1861
154	341	1859
155	343	1857
156	345	1854
157	347	1852
158	349	1851
159	352	1849
160	354	1847
161	356	1844
162	358	1842
163	361	1841
164	363	1839
165	365	1837
166	368	1835
167	370	1833
168	372	1830
169	374	1828
170	377	1827
171	379	1826
172	382	1826
173	384	1825
174	386	1824
175	389	1823
176	391	1821
177	394	1820
178	396	1820
179	398	1817
180	401	1814
181	403	1813
182	405	1810
183	407	1808
184	409	1805
185	412	1803
186	414	1802
187	416	1799
188	418	1797
189	421	1794
190	423	1792
191	425	1789
192	427	1787
193	429	1785
194	431	1783
195	434	1782
196	436	1781
197	439	1778
198	441	1776
199	443	1774
200	445	1772
201	448	1770
202	450	1768
203	452	1766
204	454	1763
205	457	1761
206	459	1759
207	461	1758
208	463	1754
209	465	1752
210	468	1750
211	470	1748
212	472	1747
213	475	1745
214	477	1743
215	479	1742
216	482	1739
217	484	1736
218	486	1735
219	488	1732
220	490	1730
221	493	1729
222	495	1726
223	497	1724
224	499	1722
225	502	1719
226	504	1716
227	506	1714
228	508	1713
229	511	1711
230	513	1708
231	515	1706
232	517	1703
233	519	1700
234	521	1698
235	523	1696
236	526	1694
237	528	1692
238	530	1690
239	533	1688
240	535	1685
241	537	1683
242	539	1681
243	542	1679
244	544	1677
245	546	1674
246	548	1672
247	550	1669
248	553	1668
249	555	1666
250	557	1663
251	559	1661
252	562	1659
253	564	1657
254	566	1654
255	568	1652
256	571	1651
257	573	1649
258	575	1646
259	577	1644
260	580	1642
261	582	1640
262	584	1638
263	586	1636
264	588	1633
265	591	1631
266	593	1629
267	595	1626
268	598	1625
269	600	1622
270	602	1620
271	604	1618
272	607	1616
273	609	1613
274	611	1612
275	613	1609
276	615	1607
277	618	1605
278	620	1603
279	622	1600
280	624	1598
281	627	1596
282	629	1595
283	632	1594
284	634	1592
285	637	1591
286	639	1589
287	642	1588
288	644	1586
289	647	1585
290	649	1583
291	652	1581
292	654	1579
293	657	1578
294	659	1576
295	661	1574
296	664	1572
297	666	1570
298	668	1568
299	671	1566
300	673	1564
301	675	1562
302	678	1559
303	680	1557
304	682	1554
305	684	1552
306	686	1550
307	689	1548
308	691	1545
309	693	1543
310	695	1541
311	698	1539
312	700	1536
313	702	1534
314	704	1532
315	706	1530
316	709	1528
317	711	1525
318	714	1524
319	716	1522
320	718	1519
321	720	1517
322	723	1515
323	725	1512
324	727	1510
325	729	1508
326	732	1506
327	734	1504
328	736	1502
329	738	1500
330	741	1498
331	743	1496
332	746	1495
333	748	1492
334	750	1490
335	752	1488
336	755	1485
337	757	1484
338	760	1482
339	762	1481
340	765	1479
341	767	1476
342	770	1475
343	772	1473
344	774	1470
345	777	1468
346	779	1466
347	781	1464
348	784	1462
349	786	1460
350	789	1458
351	791	1457
352	793	1454
353	796	1453
354	798	1450
355	800	1448
356	803	1446
357	805	1445
358	808	1443
359	810	1440
360	812	1438
361	815	1436
362	817	1434
363	820	1433
364	823	1432
365	825	1430
366	828	1428
367	830	1426
368	832	1424
369	835	1422
370	838	1420
371	840	1419
372	843	1417
373	845	1414
374	847	1412
375	850	1410
376	852	1409
377	854	1406
378	857	1404
379	859	1402
380	862	1400
381	864	1398
382	866	1396
383	869	1394
384	871	1392
385	874	1390
386	876	1388
387	878	1386
388	881	1384
389	883	1382
390	886	1379
391	888	1377
392	890	1375
393	893	1373
394	895	1371
395	897	1369
396	900	1367
397	907	1372
398	910	1370
399	912	1368
400	915	1366
401	917	1364
402	919	1362
403	922	1360
404	924	1358
405	926	1355
406	929	1353
407	931	1351
408	933	1349
409	936	1347
410	938	1345
411	941	1343
412	943	1340
413	945	1338
414	948	1336
415	950	1334
416	952	1331
417	954	1329
418	957	1327
419	959	1324
420	961	1322
421	964	1320
